period_start,vw_price_up,vw_price_down
2025-01-01T00:00:00.000,85.11500000000001,6.145688073394496
2025-01-01T04:00:00.000,71.37569444444443,5.464954128440366
2025-01-01T08:00:00.000,70.58708333333334,4.985963302752294
2025-01-01T12:00:00.000,64.5188888888889,8.923669724770642
2025-01-01T16:00:00.000,106.09125,12.005504587155965
2025-01-01T20:00:00.000,168.49625,148.43311926605506
2025-01-02T00:00:00.000,42.4975,103.01787610619469
2025-01-02T04:00:00.000,36.89972222222222,80.48150442477876
2025-01-02T08:00:00.000,36.13708333333332,10.77141592920354
2025-01-02T12:00:00.000,33.88361111111111,11.255663716814158
2025-01-02T16:00:00.000,57.55513888888888,4.557964601769911
2025-01-02T20:00:00.000,68.10986111111112,3.745663716814159
2025-01-03T00:00:00.000,45.30179487179487,5.392672413793103
2025-01-03T04:00:00.000,20.73811320754717,3.990775862068966
2025-01-03T08:00:00.000,21.423396226415097,2.8125
2025-01-03T12:00:00.000,21.20490566037736,4.250258620689656
2025-01-03T16:00:00.000,38.512264150943395,17.47715517241379
2025-01-03T20:00:00.000,49.099999999999994,74.31318965517241
2025-01-04T00:00:00.000,28.056448598130846,3.6967924528301888
2025-01-04T04:00:00.000,15.730370370370371,5.95254716981132
2025-01-04T08:00:00.000,16.201481481481483,3.6411320754716985
2025-01-04T12:00:00.000,14.618148148148148,3.6896226415094335
2025-01-04T16:00:00.000,31.883703703703706,2.791698113207547
2025-01-04T20:00:00.000,35.25296296296296,2.4968867924528304
2025-01-05T00:00:00.000,39.539541284403676,6.210176991150442
2025-01-05T04:00:00.000,46.25473684210526,3.0185263157894737
2025-01-05T08:00:00.000,40.44136842105263,2.753789473684211
2025-01-05T12:00:00.000,41.231157894736846,2.397684210526316
2025-01-05T16:00:00.000,76.1818947368421,2.2229473684210523
2025-01-05T20:00:00.000,78.87347368421052,2.4015789473684213
2025-01-06T00:00:00.000,50.35,1.7626315789473683
2025-01-06T04:00:00.000,53.10657657657658,1.7484210526315789
2025-01-06T08:00:00.000,50.090270270270274,1.7836842105263158
2025-01-06T12:00:00.000,51.104864864864865,1.8239473684210528
2025-01-06T16:00:00.000,78.27873873873874,1.7721052631578946
2025-01-06T20:00:00.000,94.14936936936935,4.664912280701753
2025-01-07T00:00:00.000,60.57318584070797,1.9571929824561405
2025-01-07T04:00:00.000,57.87438356164383,2.202719298245614
2025-01-07T08:00:00.000,54.971780821917804,1.4
2025-01-07T12:00:00.000,55.065616438356166,1.4
2025-01-07T16:00:00.000,86.18164383561644,1.4
2025-01-07T20:00:00.000,84.22931506849315,1.4
2025-01-08T00:00:00.000,35.55423423423423,3.1300877192982455
2025-01-08T04:00:00.000,30.41666666666666,4.990789473684212
2025-01-08T08:00:00.000,30.29885057471265,4.629385964912281
2025-01-08T12:00:00.000,38.00597701149425,40.95921052631579
2025-01-08T16:00:00.000,55.43436781609196,4.024210526315789
2025-01-08T20:00:00.000,51.771954022988524,5.595438596491228
2025-01-09T00:00:00.000,22.965652173913046,3.898684210526316
2025-01-09T04:00:00.000,24.02027027027027,3.4915957446808514
2025-01-09T08:00:00.000,23.595945945945946,3.439255319148936
2025-01-09T12:00:00.000,25.11432432432433,3.4572340425531918
2025-01-09T16:00:00.000,40.43891891891892,3.43531914893617
2025-01-09T20:00:00.000,37.601351351351354,3.4643617021276594
2025-01-10T00:00:00.000,22.48483050847458,5.115840707964602
2025-01-10T04:00:00.000,21.28968253968254,3.5903174603174604
2025-01-10T08:00:00.000,20.769841269841272,2.8958730158730157
2025-01-10T12:00:00.000,21.844761904761903,2.8653968253968256
2025-01-10T16:00:00.000,34.71301587301588,2.7938095238095246
2025-01-10T20:00:00.000,31.70412698412698,2.7860317460317456
2025-01-11T00:00:00.000,16.983999999999998,3.938490566037736
2025-01-11T04:00:00.000,17.072,2.8661538461538463
2025-01-11T08:00:00.000,17.08,2.613406593406593
2025-01-11T12:00:00.000,17.08,2.5842857142857145
2025-01-11T16:00:00.000,30.6,2.5385714285714283
2025-01-11T20:00:00.000,27.339999999999996,2.5215384615384617
2025-01-12T00:00:00.000,19.963669724770643,3.041616161616161
2025-01-12T04:00:00.000,15.782,2.807373737373737
2025-01-12T08:00:00.000,15.753294117647059,2.8537373737373737
2025-01-12T12:00:00.000,15.650470588235294,2.819797979797979
2025-01-12T16:00:00.000,27.764470588235294,2.782828282828283
2025-01-12T20:00:00.000,24.264470588235298,2.807171717171717
2025-01-13T00:00:00.000,21.65008474576271,2.9860747663551406
2025-01-13T04:00:00.000,17.10130434782609,2.57411214953271
2025-01-13T08:00:00.000,17.03,3.0571028037383177
2025-01-13T12:00:00.000,16.03,2.677570093457944
2025-01-13T16:00:00.000,30.848260869565223,2.4894392523364486
2025-01-13T20:00:00.000,26.04217391304348,2.5605607476635517
2025-01-14T00:00:00.000,20.92921052631579,2.9398181818181817
2025-01-14T04:00:00.000,15.24135593220339,2.933454545454545
2025-01-14T08:00:00.000,15.678813559322037,2.917545454545454
2025-01-14T12:00:00.000,14.673389830508476,2.958181818181818
2025-01-14T16:00:00.000,27.523050847457625,2.918909090909091
2025-01-14T20:00:00.000,23.38372881355932,2.924363636363636
2025-01-15T00:00:00.000,33.3287962962963,2.8515999999999995
2025-01-15T04:00:00.000,21.8225,2.8354000000000004
2025-01-15T08:00:00.000,31.767708333333335,2.853499999999999
2025-01-15T12:00:00.000,23.771041666666665,2.8428999999999998
2025-01-15T16:00:00.000,51.84458333333333,2.8295999999999997
2025-01-15T20:00:00.000,35.964999999999996,2.8348999999999993
